frame,plate_cleaned
0,NNI3NRU
0,MFL
0,5ISOCJ
0,HOCJ
15,NAI3HRU
15,GISOCJ
15,SCJ
15,MNU
30,NAIZNRU
30,6U50GJ
45,GXI50GJ
45,MIISU
45,MZU
45,IZU
60,GXIS0GJ
60,WIISU
60,WIISU
75,GXIS0GJ
90,GXIS0GJ
90,JCOSJ0
105,GXIS0GJ
105,JPO5E0
105,APO
120,GXIS0GJ
120,CDLC
120,4O5JEQCDLC
135,GXIS0GJ
135,NHIDLWVCV
135,APO5EONHIIDLWCV
135,MDLWCV
135,MDLWOV
135,ADLWOV
135,MDLWOV
150,APOSJEO
150,KHOSZK
165,APOSJEO
165,KSZK
180,APOSJEO
180,KKOS
195,APOSJEQE
195,HOSEK
210,KHOSZZK
210,APOSJEQ
225,KKOSZ1K
225,UDTFX
225,TRY127
225,TRY127
225,TRYT27
240,KHOIZIX
240,UWDZERD
240,VDZERD
255,UROZFKD
255,QZFKD1EX6IMBG
255,QZFKDTEXOIMBC
270,JLEZHY
270,LEAD
270,EVSUNBGTCHLEASATE
270,EVSUNBGTCHLEASA
285,FAZHY
285,BEINOD
285,BEINOD
285,FLODBEINOD
285,FIODBEINOD
300,EGINBG
300,EGINBG
315,EGICNEG
315,FCICNCC
315,ECICNC
315,ECICNEC
330,EYGINBG
330,EYGINBG
330,GIEXEYGINBG
330,IEX
345,EGINBG
345,EOIDO
345,OIL
360,IOBHF
375,LDEHVF
375,HIC
390,LOBHVF
390,HNUACN
390,NUACN
390,NUACN
405,NVOPHVE
405,MSLDD
405,0CE545
420,DG6SUS
420,POS5U5
435,DHY
435,G6SSJ
435,PGG5US
450,MKQJ
450,K640
450,BGSSSJ
450,B6SS
450,ZHKHI9460
450,KHI9460
450,BGSS
450,HKKHI9460HI9460
450,KHI9480
465,WAW
465,G6SUSJ
465,SSUSU
465,0G65USJ
465,SSISI6E88BJ
480,WOKO
495,MSKQ
495,4B4
510,MSKQJ
510,NBA
525,KG4
